Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Store_Location,Sales_in_2020,Sales_in_2021,Sales_in_2022,Sales_in_2023,Sales_in_2024
ITEM_0,12.49080238,Ultra Low Fat,0.22636186,Health and Hygiene,165.706387,Medium,tier-1,993,1026,900,940,928
ITEM_1,24.01428613,Regular,0.043693739,Soft Drinks,114.0156939,High,tier-2,666,597,639,707,639
ITEM_2,19.63987884,Low Fat,0.260714131,Health and Hygiene,197.3509033,Medium,tier-3,1074,850,793,848,737
ITEM_3,16.97316968,Regular,0.192997294,Soft Drinks,229.2425115,High,tier-1,1221,1404,1365,1489,1378
ITEM_4,8.120372809,Ultra Low Fat,0.068825603,Dairy,142.7370194,High,tier-1,890,863,912,1047,989
ITEM_5,8.119890407,Ultra Low Fat,0.047316095,Fruits and Vegetables,176.2359077,High,tier-2,944,1062,1054,1039,1034
ITEM_6,6.161672243,Ultra Low Fat,0.18828741,Baking Goods,259.9209926,Small,tier-3,1344,1333,1544,1540,1634
ITEM_7,22.32352292,Ultra Low Fat,0.270251094,Canned,87.17044046,High,tier-1,489,537,516,458,358
ITEM_8,17.02230023,Regular,0.215508066,Breakfast,186.3061048,Medium,tier-3,995,897,735,694,762
ITEM_9,19.16145156,Low Fat,0.104563995,Dairy,137.1031655,Small,tier-1,781,793,849,675,824
ITEM_10,5.411689886,Regular,0.176215079,Snack Foods,225.6986896,High,tier-1,1259,1650,1655,1816,2227
ITEM_11,24.39819704,Low Fat,0.093228509,Fruits and Vegetables,54.70256079,Medium,tier-1,330,297,318,306,269
ITEM_12,21.64885282,Ultra Low Fat,0.29974487,Meat,217.618325,High,tier-2,1255,1332,1274,1457,1418
ITEM_13,9.246782214,Low Fat,0.224651757,Others,75.7244335,Medium,tier-3,489,487,502,513,483
ITEM_14,8.636499344,Ultra Low Fat,0.184314492,Snack Foods,66.19193825,High,tier-2,355,369,359,330,329
ITEM_15,8.668090197,Regular,0.126977743,Meat,231.1558252,Medium,tier-2,1157,1164,988,832,1026
ITEM_16,11.08484486,Low Fat,0.185445687,Baking Goods,210.0855382,Medium,tier-2,1147,941,1002,788,737
ITEM_17,15.49512863,Regular,0.102484819,Seafood,273.7339827,Small,tier-2,1433,1499,1583,1379,1206
ITEM_18,13.63890037,Ultra Low Fat,0.008659452,Baking Goods,179.913739,Small,tier-2,955,990,1091,1144,1270
